year,source,age,country
2004,hunted,11,fi
2009,hunted,6,fi
2010,hunted,12,fi
2010,hunted,9,fi
2010,hunted,0,fi
2010,hunted,0,fi
2010,hunted,8,fi
2010,hunted,2,fi
2010,hunted,1,fi
2010,hunted,0,fi
2010,hunted,5,fi
2010,hunted,0,fi
2010,hunted,0,fi
2010,hunted,12,fi
2010,hunted,10,fi
2010,hunted,3,fi
2010,hunted,4,fi
2011,hunted,2,fi
2011,hunted,24,fi
2011,hunted,2,fi
2011,hunted,2,fi
2011,hunted,0,fi
2011,hunted,1,fi
2011,hunted,2,fi
2011,hunted,0,fi
2011,hunted,8,fi
2011,hunted,1,fi
2011,hunted,4,fi
2011,hunted,2,fi
2011,hunted,2,fi
2011,hunted,6,fi
2011,hunted,1,fi
2011,hunted,4,fi
2011,hunted,19,fi
2011,hunted,6,fi
2011,hunted,28,fi
2011,hunted,11,fi
2011,hunted,7,fi
2011,hunted,7,fi
2011,hunted,11,fi
2011,hunted,15,fi
2011,hunted,5,fi
2011,hunted,7,fi
2011,hunted,8,fi
2011,hunted,13,fi
2011,hunted,8,fi
2011,hunted,9,fi
2011,hunted,14,fi
2011,hunted,0,fi
2011,hunted,0,fi
2011,hunted,0,fi
2011,hunted,0,fi
2011,hunted,0,fi
2011,hunted,0,fi
2011,hunted,0,fi
2011,hunted,21,fi
2011,hunted,1,fi
2011,hunted,2,fi
2011,hunted,9,fi
2011,bycaught,4,fi
2011,bycaught,3,fi
2011,hunted,4,fi
2011,bycaught,27,fi
2012,bycaught,1,fi
2012,hunted,1,fi
2012,hunted,21,fi
2012,hunted,13,fi
2012,hunted,1,fi
2012,hunted,4,fi
2012,hunted,5,fi
2012,hunted,22,fi
2012,hunted,13,fi
2012,hunted,0,fi
2012,hunted,11,fi
2012,hunted,0,fi
2012,hunted,0,fi
2012,hunted,11,fi
2012,hunted,17,fi
2012,hunted,7,fi
2012,hunted,12,fi
2012,hunted,5,fi
2012,hunted,8,fi
2012,hunted,17,fi
2012,hunted,0,fi
2012,bycaught,0,fi
2012,hunted,8,fi
2012,hunted,9,fi
2012,hunted,15,fi
2012,hunted,4,fi
2012,hunted,9,fi
2012,hunted,15,fi
2012,hunted,9,fi
2012,bycaught,0,fi
2012,bycaught,0,fi
2012,hunted,0,fi
2012,bycaught,0,fi
2012,bycaught,13,fi
2012,hunted,0,fi
2012,hunted,2,fi
2012,hunted,0,fi
2012,hunted,0,fi
2012,hunted,0,fi
2012,bycaught,0,fi
2012,hunted,9,fi
2012,hunted,17,fi
2012,bycaught,8,fi
2012,bycaught,19,fi
2013,hunted,0,fi
2013,hunted,0,fi
2013,hunted,6,fi
2013,hunted,4,fi
2013,hunted,16,fi
2013,hunted,0,fi
2013,hunted,0,fi
2013,hunted,10,fi
2013,hunted,26,fi
2013,hunted,18,fi
2013,hunted,6,fi
2013,hunted,12,fi
2013,hunted,0,fi
2013,hunted,0,fi
2012,hunted,0,fi
2012,hunted,0,fi
2013,hunted,0,fi
2013,hunted,0,fi
2013,hunted,0,fi
2013,hunted,0,fi
2013,hunted,0,fi
2013,hunted,0,fi
2013,hunted,0,fi
2013,hunted,0,fi
2013,hunted,0,fi
2013,hunted,0,fi
2013,bycaught,0,fi
2013,hunted,0,fi
2013,hunted,6,fi
2013,hunted,0,fi
2013,bycaught,3,fi
2013,bycaught,3,fi
2011,hunted,0,fi
2014,hunted,8,fi
2014,hunted,15,fi
2014,hunted,0,fi
2014,hunted,7,fi
2014,hunted,5,fi
2014,hunted,7,fi
2014,hunted,6,fi
2014,hunted,16,fi
2014,hunted,14,fi
2014,hunted,9,fi
2014,hunted,5,fi
2014,hunted,10,fi
2014,hunted,15,fi
2014,hunted,8,fi
2014,hunted,16,fi
2014,hunted,19,fi
2014,hunted,10,fi
2014,hunted,10,fi
2014,hunted,17,fi
2014,hunted,15,fi
2014,hunted,10,fi
2014,hunted,9,fi
2014,hunted,13,fi
2014,hunted,5,fi
2014,hunted,6,fi
2014,hunted,19,fi
2014,hunted,7,fi
2014,hunted,0,fi
2014,hunted,0,fi
2014,hunted,7,fi
2014,hunted,7,fi
2014,hunted,0,fi
2014,hunted,16,fi
2014,hunted,21,fi
2014,hunted,19,fi
2014,hunted,13,fi
2014,hunted,20,fi
2014,hunted,11,fi
2014,hunted,8,fi
2014,hunted,3,fi
2014,hunted,18,fi
2014,hunted,5,fi
2014,bycaught,0,fi
2014,bycaught,0,fi
2014,hunted,0,fi
2014,hunted,0,fi
2014,hunted,23,fi
2014,bycaught,0,fi
2014,hunted,0,fi
2014,hunted,0,fi
2014,hunted,0,fi
2014,hunted,4,fi
2014,bycaught,0,fi
2014,hunted,0,fi
2014,hunted,4,fi
2014,hunted,16,fi
2014,hunted,20,fi
2014,hunted,12,fi
2014,hunted,18,fi
2014,hunted,17,fi
2014,hunted,15,fi
2014,hunted,5,fi
2014,hunted,7,fi
2014,hunted,12,fi
2014,hunted,4,fi
2014,hunted,0,fi
2014,hunted,8,fi
2014,hunted,8,fi
2014,hunted,4,fi
2014,hunted,6,fi
2014,hunted,18,fi
2014,hunted,5,fi
2014,hunted,9,fi
2014,hunted,17,fi
2014,hunted,24,fi
2014,hunted,13,fi
2014,bycaught,0,fi
2014,hunted,0,fi
2014,hunted,4,fi
2014,hunted,3,fi
2014,hunted,12,fi
2014,hunted,1,fi
2014,bycaught,0,fi
2014,hunted,0,fi
2014,hunted,1,fi
2014,bycaught,0,fi
2014,hunted,17,fi
2014,bycaught,0,fi
2014,bycaught,1,fi
2014,bycaught,4,fi
2014,hunted,3,fi
2014,hunted,4,fi
2014,hunted,18,fi
2014,hunted,3,fi
2014,hunted,9,fi
2015,hunted,5,fi
2015,bycaught,21,fi
2015,hunted,9,fi
2015,hunted,0,fi
2015,hunted,10,fi
2015,hunted,18,fi
2015,hunted,11,fi
2015,hunted,3,fi
2015,hunted,7,fi
2015,hunted,0,fi
2015,hunted,0,fi
2015,hunted,0,fi
2015,hunted,15,fi
2015,hunted,9,fi
2015,hunted,2,fi
2015,hunted,0,fi
2015,hunted,0,fi
2015,hunted,0,fi
2015,hunted,1,fi
2015,hunted,8,fi
2015,hunted,13,fi
2015,hunted,7,fi
2015,hunted,0,fi
2015,hunted,0,fi
2015,hunted,0,fi
2015,hunted,0,fi
2015,bycaught,10,fi
2015,hunted,0,fi
2015,hunted,6,fi
2014,hunted,15,fi
2014,hunted,0,fi
2016,hunted,0,fi
2016,hunted,0,fi
2016,hunted,20,fi
2016,hunted,30,fi
2016,hunted,25,fi
2015,hunted,11,fi
2015,hunted,12,fi
2016,hunted,8,fi
2016,hunted,15,fi
2016,hunted,16,fi
2016,hunted,1,fi
2013,hunted,0,fi
2015,bycaught,1,fi
2016,hunted,1,fi
2016,hunted,1,fi
2016,hunted,1,fi
2016,hunted,0,fi
2016,hunted,0,fi
2017,hunted,16,fi
2017,hunted,18,fi
2017,hunted,3,fi
2017,hunted,1,fi
2017,hunted,1,fi
2017,hunted,5,fi
2017,hunted,2,fi
2017,hunted,1,fi
2017,hunted,0,fi
2017,hunted,0,fi
2017,hunted,0,fi
2017,hunted,0,fi
2017,hunted,1,fi
2017,hunted,0,fi
2017,hunted,0,fi
2017,hunted,0,fi
2017,hunted,0,fi
2017,hunted,7,fi
2017,hunted,0,fi
2017,hunted,0,fi
2017,bycaught,0,fi
2017,hunted,0,fi
2017,hunted,0,fi
2017,hunted,5,fi
2017,hunted,21,fi
2017,hunted,0,fi
2017,hunted,2,fi
2017,hunted,13,fi
2017,hunted,16,fi
2017,hunted,15,fi
2017,hunted,22,fi
2017,hunted,9,fi
2017,hunted,2,fi
2017,hunted,5,fi
2017,hunted,8,fi
2017,hunted,1,fi
2017,hunted,5,fi
2017,hunted,1,fi
2017,hunted,11,fi
2017,hunted,2,fi
2017,hunted,2,fi
2017,hunted,23,fi
2017,hunted,10,fi
2017,hunted,1,fi
2017,hunted,8,fi
2017,bycaught,0,fi
2017,hunted,0,fi
2017,hunted,0,fi
2017,hunted,1,fi
2017,hunted,5,fi
2017,hunted,0,fi
2017,bycaught,0,fi
2017,hunted,0,fi
2017,hunted,0,fi
2017,hunted,0,fi
2017,hunted,0,fi
2017,hunted,0,fi
2018,hunted,0,fi
2018,hunted,6,fi
2018,hunted,8,fi
2018,hunted,0,fi
2018,hunted,22,fi
2018,hunted,3,fi
2018,hunted,9,fi
2018,hunted,1,fi
2018,hunted,13,fi
2018,hunted,0,fi
2018,hunted,0,fi
2018,hunted,0,fi
2018,hunted,1,fi
2018,hunted,0,fi
2018,bycaught,0,fi
2018,hunted,11,fi
2018,hunted,16,fi
2018,hunted,12,fi
2018,hunted,21,fi
2018,hunted,8,fi
2018,hunted,7,fi
2018,hunted,0,fi
2018,hunted,6,fi
2018,hunted,24,fi
2018,hunted,3,fi
2018,hunted,11,fi
2018,hunted,14,fi
2018,hunted,15,fi
2018,hunted,14,fi
2018,hunted,23,fi
2018,hunted,3,fi
2018,hunted,4,fi
2018,hunted,3,fi
2018,hunted,10,fi
2018,hunted,25,fi
2018,hunted,15,fi
2018,hunted,5,fi
2018,hunted,17,fi
2018,hunted,5,fi
2018,hunted,7,fi
2018,hunted,7,fi
2018,hunted,11,fi
2019,hunted,0,fi
2019,hunted,7,fi
2019,hunted,0,fi
2019,hunted,0,fi
2019,hunted,0,fi
2019,hunted,0,fi
2019,hunted,2,fi
2019,hunted,0,fi
2019,hunted,0,fi
2019,hunted,3,fi
2019,hunted,4,fi
2019,hunted,0,fi
2019,hunted,0,fi
2019,hunted,3,fi
2019,hunted,2,fi
2019,hunted,2,fi
2019,hunted,3,fi
2019,hunted,1,fi
2019,hunted,1,fi
2019,hunted,1,fi
2019,hunted,0,fi
2019,hunted,1,fi
2019,hunted,16,fi
2019,hunted,0,fi
2019,hunted,0,fi
2019,hunted,23,fi
2019,hunted,25,fi
2019,hunted,0,fi
2019,hunted,1,fi
2019,hunted,0,fi
2019,hunted,0,fi
2019,hunted,0,fi
2019,hunted,0,fi
2019,hunted,0,fi
2019,hunted,18,fi
2019,hunted,16,fi
2019,hunted,0,fi
2018,hunted,0,fi
2019,hunted,0,fi
2019,hunted,1,fi
2019,hunted,0,fi
2019,hunted,17,fi
2019,hunted,0,fi
2019,hunted,1,fi
2019,hunted,1,fi
2019,hunted,16,fi
2003,bycaught,0,se
2003,bycaught,2,se
2003,bycaught,4,se
2003,bycaught,3,se
2004,bycaught,0,se
2004,bycaught,12,se
2004,bycaught,2,se
2004,bycaught,2,se
2004,bycaught,3,se
2003,bycaught,3,se
2004,bycaught,17,se
2005,bycaught,16,se
2005,bycaught,3,se
2005,bycaught,4,se
2005,bycaught,3,se
2005,bycaught,3,se
2005,bycaught,3,se
2005,bycaught,0,se
2005,bycaught,1,se
2005,bycaught,1,se
2005,bycaught,20,se
2005,bycaught,19,se
2005,bycaught,1,se
2005,bycaught,1,se
2005,bycaught,0,se
2005,bycaught,3,se
2006,bycaught,5,se
2006,bycaught,21,se
2006,bycaught,0,se
2006,bycaught,3,se
2006,bycaught,2,se
2006,bycaught,1,se
2006,bycaught,5,se
2005,bycaught,1,se
2006,bycaught,3,se
2006,bycaught,3,se
2007,bycaught,1,se
2007,bycaught,1,se
2007,bycaught,5,se
2007,bycaught,2,se
2007,bycaught,3,se
2007,bycaught,2,se
2007,bycaught,13,se
2007,bycaught,3,se
2007,bycaught,1,se
2007,bycaught,15,se
2007,bycaught,9,se
2008,bycaught,1,se
2007,bycaught,0,se
2008,bycaught,3,se
2008,bycaught,4,se
2009,bycaught,10,se
2009,bycaught,14,se
2009,bycaught,0,se
2009,bycaught,3,se
2009,bycaught,0,se
2009,bycaught,8,se
2009,hunted,2,se
2009,hunted,5,se
2009,hunted,7,se
2009,hunted,0,se
2009,hunted,17,se
2009,hunted,1,se
2009,hunted,4,se
2009,hunted,2,se
2009,hunted,2,se
2009,hunted,11,se
2009,hunted,4,se
2009,hunted,1,se
2009,hunted,1,se
2009,hunted,1,se
2009,hunted,1,se
2009,hunted,1,se
2009,hunted,6,se
2009,hunted,15,se
2009,hunted,4,se
2009,hunted,4,se
2009,hunted,1,se
2009,hunted,4,se
2010,hunted,20,se
2010,hunted,1,se
2010,bycaught,0,se
2010,bycaught,0,se
2010,bycaught,0,se
2009,bycaught,1,se
2009,bycaught,0,se
2009,bycaught,0,se
2009,hunted,16,se
2009,hunted,3,se
2009,hunted,16,se
2009,hunted,2,se
2009,hunted,4,se
2009,hunted,2,se
2009,hunted,0,se
2009,hunted,2,se
2009,hunted,4,se
2010,bycaught,0,se
2010,bycaught,0,se
2010,bycaught,0,se
2010,hunted,9,se
2010,hunted,0,se
2010,hunted,20,se
2010,hunted,0,se
2010,hunted,0,se
2010,hunted,8,se
2010,bycaught,1,se
2010,bycaught,0,se
2010,bycaught,0,se
2010,bycaught,0,se
2010,hunted,7,se
2010,hunted,10,se
2010,hunted,15,se
2010,hunted,5,se
2010,hunted,8,se
2010,hunted,0,se
2010,hunted,0,se
2010,hunted,14,se
2010,hunted,15,se
2010,hunted,10,se
2010,hunted,14,se
2010,hunted,19,se
2010,bycaught,0,se
2010,hunted,4,se
2010,bycaught,0,se
2010,bycaught,2,se
2009,bycaught,6,se
2010,hunted,14,se
2010,hunted,7,se
2010,hunted,12,se
2010,hunted,3,se
2010,hunted,5,se
2010,hunted,2,se
2010,hunted,16,se
2010,hunted,4,se
2010,hunted,14,se
2010,hunted,0,se
2010,hunted,3,se
2010,hunted,3,se
2010,hunted,14,se
2010,bycaught,0,se
2010,hunted,7,se
2010,hunted,6,se
2010,hunted,10,se
2010,hunted,4,se
2010,hunted,7,se
2010,hunted,5,se
2011,bycaught,0,se
2011,bycaught,0,se
2011,bycaught,0,se
2011,bycaught,0,se
2010,bycaught,2,se
2010,bycaught,0,se
2010,bycaught,0,se
2011,hunted,0,se
2010,hunted,4,se
2010,hunted,4,se
2010,hunted,3,se
2010,hunted,3,se
2010,hunted,13,se
2011,bycaught,0,se
2011,bycaught,0,se
2011,bycaught,0,se
2011,bycaught,0,se
2011,bycaught,0,se
2011,bycaught,3,se
2011,bycaught,3,se
2011,bycaught,0,se
2011,bycaught,2,se
2011,bycaught,7,se
2011,bycaught,3,se
2011,hunted,1,se
2011,hunted,1,se
2011,hunted,0,se
2011,bycaught,0,se
2011,hunted,25,se
2011,bycaught,2,se
2011,bycaught,8,se
2009,bycaught,0,se
2011,bycaught,0,se
2011,bycaught,0,se
2011,bycaught,0,se
2011,bycaught,0,se
2011,bycaught,2,se
2011,hunted,8,se
2011,hunted,15,se
2011,hunted,8,se
2011,hunted,0,se
2011,bycaught,0,se
2011,bycaught,0,se
2011,bycaught,0,se
2011,bycaught,0,se
2011,hunted,15,se
2011,bycaught,2,se
2011,hunted,14,se
2011,hunted,4,se
2012,bycaught,0,se
2012,bycaught,0,se
2011,hunted,0,se
2011,hunted,4,se
2011,hunted,0,se
2011,hunted,20,se
2011,hunted,9,se
2012,bycaught,0,se
2011,hunted,11,se
2011,hunted,7,se
2012,bycaught,0,se
2012,bycaught,0,se
2012,hunted,0,se
2012,hunted,10,se
2012,bycaught,2,se
2012,bycaught,0,se
2012,bycaught,4,se
2012,bycaught,2,se
2012,bycaught,3,se
2012,bycaught,3,se
2012,bycaught,3,se
2012,hunted,3,se
2012,hunted,4,se
2012,hunted,0,se
2011,hunted,0,se
