year,source,age,country
2011,bycaught,2,se
2012,hunted,0,se
2012,hunted,25,se
2011,hunted,9,se
2012,bycaught,1,se
2011,hunted,18,se
2012,bycaught,0,se
2011,hunted,5,se
2012,hunted,22,se
2011,bycaught,0,se
2013,bycaught,0,se
2012,bycaught,0,se
2013,hunted,0,se
2013,hunted,2,se
2013,hunted,14,se
2012,hunted,18,se
2013,bycaught,0,se
2012,hunted,4,se
2013,bycaught,6,se
2012,hunted,4,se
2012,hunted,3,se
2012,hunted,8,se
2012,hunted,7,se
2012,hunted,4,se
2012,hunted,6,se
2012,hunted,9,se
2012,hunted,11,se
2012,hunted,3,se
2013,hunted,6,se
2013,hunted,6,se
2013,hunted,6,se
2013,hunted,4,se
2013,hunted,11,se
2013,hunted,8,se
2012,bycaught,2,se
2013,bycaught,2,se
2013,hunted,0,se
2013,hunted,0,se
2012,hunted,5,se
2012,hunted,3,se
2012,hunted,11,se
2012,hunted,13,se
2012,hunted,4,se
2013,hunted,7,se
2013,hunted,18,se
2012,hunted,0,se
2012,hunted,2,se
2012,hunted,9,se
2013,hunted,6,se
2012,hunted,17,se
2012,hunted,21,se
2012,hunted,18,se
2012,hunted,14,se
2013,bycaught,2,se
2013,hunted,3,se
2013,hunted,6,se
2013,hunted,9,se
2013,hunted,2,se
2013,bycaught,3,se
2013,hunted,4,se
2013,hunted,3,se
2013,hunted,1,se
2013,hunted,13,se
2012,bycaught,3,se
2012,bycaught,4,se
2013,hunted,6,se
2013,hunted,8,se
2013,hunted,8,se
2013,hunted,4,se
2013,hunted,5,se
2013,hunted,10,se
2013,hunted,2,se
2013,hunted,18,se
2013,hunted,5,se
2013,hunted,15,se
2013,hunted,8,se
2013,bycaught,0,se
2012,bycaught,2,se
2014,bycaught,0,se
2014,hunted,19,se
2014,hunted,0,se
2013,hunted,3,se
2013,hunted,3,se
2014,hunted,9,se
2014,hunted,7,se
2014,hunted,8,se
2014,hunted,8,se
2013,bycaught,0,se
2014,bycaught,2,se
2014,bycaught,3,se
2014,hunted,1,se
2014,hunted,9,se
2013,hunted,8,se
2013,hunted,10,se
2013,hunted,5,se
2013,hunted,6,se
2014,hunted,0,se
2014,hunted,3,se
2014,hunted,0,se
2014,hunted,0,se
2013,bycaught,0,se
2014,bycaught,2,se
2014,hunted,5,se
2013,bycaught,0,se
2013,bycaught,0,se
2013,bycaught,0,se
2013,bycaught,0,se
2013,bycaught,0,se
2013,bycaught,0,se
2014,bycaught,0,se
2014,hunted,4,se
2014,hunted,18,se
2014,hunted,10,se
2014,hunted,5,se
2014,bycaught,3,se
2013,bycaught,0,se
2013,bycaught,0,se
2014,bycaught,0,se
2015,hunted,10,se
2014,bycaught,3,se
2014,bycaught,3,se
2013,bycaught,0,se
2015,hunted,1,se
2015,hunted,3,se
2015,hunted,2,se
2015,bycaught,1,se
2015,hunted,3,se
2014,bycaught,1,se
2014,bycaught,0,se
2014,bycaught,0,se
2015,hunted,0,se
2015,hunted,3,se
2015,hunted,9,se
2015,hunted,5,se
2015,hunted,1,se
2015,hunted,0,se
2015,hunted,0,se
2015,hunted,0,se
2015,hunted,5,se
2015,bycaught,4,se
2015,hunted,0,se
2015,hunted,2,se
2015,hunted,8,se
2015,hunted,7,se
2015,hunted,4,se
2015,hunted,17,se
2015,hunted,8,se
2014,hunted,6,se
2015,bycaught,7,se
2015,hunted,12,se
2015,hunted,0,se
2015,hunted,2,se
2015,hunted,8,se
2015,hunted,13,se
2015,hunted,2,se
2015,hunted,2,se
2015,bycaught,0,se
2015,hunted,0,se
2015,hunted,10,se
2015,bycaught,4,se
2016,bycaught,23,se
2016,bycaught,14,se
2015,hunted,11,se
2015,hunted,0,se
2015,hunted,12,se
2015,hunted,6,se
2016,bycaught,6,se
2016,bycaught,2,se
2016,bycaught,2,se
2016,bycaught,3,se
2016,bycaught,0,se
2016,hunted,5,se
2016,hunted,0,se
2016,hunted,3,se
2016,bycaught,2,se
2016,hunted,2,se
2016,hunted,12,se
2016,hunted,0,se
2016,bycaught,3,se
2016,hunted,22,se
2016,hunted,4,se
2016,hunted,10,se
2016,hunted,4,se
2016,hunted,22,se
2016,hunted,0,se
2016,hunted,6,se
2016,hunted,11,se
2016,bycaught,2,se
2016,bycaught,4,se
2016,hunted,13,se
2016,hunted,15,se
2016,hunted,4,se
2016,hunted,3,se
2016,hunted,8,se
2017,bycaught,1,se
2017,bycaught,1,se
2017,bycaught,1,se
2017,bycaught,2,se
2017,bycaught,2,se
2017,bycaught,1,se
2017,bycaught,0,se
2017,bycaught,1,se
2016,hunted,15,se
2016,hunted,12,se
2016,hunted,0,se
2017,bycaught,2,se
2016,hunted,4,se
2016,hunted,4,se
2016,hunted,19,se
2016,hunted,11,se
2016,hunted,6,se
2017,hunted,0,se
2017,hunted,6,se
2014,hunted,0,se
2016,hunted,5,se
2017,bycaught,20,se
2017,bycaught,3,se
2014,hunted,0,se
2017,hunted,1,se
2017,hunted,1,se
2017,hunted,1,se
2017,hunted,4,se
2017,hunted,6,se
2017,hunted,7,se
2017,hunted,14,se
2017,hunted,0,se
2017,hunted,0,se
2017,hunted,18,se
2017,hunted,18,se
2017,hunted,18,se
2017,hunted,3,se
2017,hunted,0,se
2017,hunted,3,se
2017,hunted,4,se
2017,hunted,13,se
2017,hunted,0,se
2016,hunted,5,se
2017,hunted,0,se
2017,hunted,25,se
2018,bycaught,3,se
2017,hunted,1,se
2016,hunted,11,se
2016,bycaught,0,se
2018,bycaught,0,se
2016,hunted,5,se
2017,hunted,16,se
2018,hunted,13,se
2018,hunted,2,se
2018,hunted,0,se
2018,hunted,2,se
2018,hunted,12,se
2018,hunted,1,se
2018,hunted,0,se
2018,hunted,0,se
2018,hunted,5,se
2018,hunted,12,se
2018,hunted,0,se
2018,hunted,3,se
2018,hunted,22,se
2018,hunted,0,se
2018,bycaught,0,se
2018,hunted,0,se
2018,hunted,5,se
2018,hunted,7,se
2018,hunted,3,se
2015,hunted,17,se
2018,hunted,5,se
2018,hunted,9,se
2018,hunted,6,se
2018,hunted,3,se
2018,hunted,12,se
2018,hunted,9,se
2018,hunted,3,se
2017,hunted,0,se
2018,hunted,2,se
2018,hunted,2,se
2016,hunted,5,se
2018,hunted,2,se
2018,hunted,2,se
2018,hunted,0,se
2018,hunted,0,se
2018,hunted,1,se
2018,hunted,1,se
2018,hunted,2,se
2018,hunted,0,se
2018,hunted,15,se
2018,hunted,18,se
2018,hunted,20,se
2018,hunted,17,se
2018,hunted,12,se
2018,hunted,6,se
2018,hunted,46,se
2017,bycaught,2,se
2018,hunted,13,se
2018,hunted,14,se
2018,hunted,0,se
2018,bycaught,0,se
2018,hunted,6,se
2018,hunted,16,se
2019,hunted,0,se
2019,hunted,0,se
2019,hunted,0,se
2019,hunted,2,se
2019,hunted,21,se
2018,hunted,15,se
2019,hunted,0,se
2019,hunted,14,se
2019,hunted,8,se
2020,hunted,3,se
2020,hunted,0,se
2020,hunted,10,se
2020,hunted,4,se
2003,bycaught,0,se
2003,bycaught,0,se
2003,bycaught,4,se
2003,hunted,15,se
2003,hunted,18,se
2003,hunted,7,se
2003,hunted,5,se
2003,bycaught,0,se
2003,hunted,2,se
2003,hunted,4,se
2003,hunted,3,se
2003,hunted,10,se
2003,hunted,3,se
2003,hunted,5,se
2003,hunted,9,se
2003,hunted,6,se
2003,hunted,9,se
2003,hunted,9,se
2003,hunted,5,se
2003,hunted,26,se
2003,hunted,10,se
2003,hunted,10,se
2003,hunted,5,se
2003,hunted,5,se
2003,hunted,10,se
2003,hunted,7,se
2003,bycaught,2,se
2003,hunted,4,se
2003,hunted,5,se
2003,hunted,11,se
2003,hunted,6,se
2003,hunted,12,se
2003,hunted,9,se
2003,hunted,7,se
2003,hunted,0,se
2003,hunted,4,se
2003,hunted,6,se
2003,hunted,11,se
2003,hunted,12,se
2003,hunted,9,se
2003,hunted,11,se
2003,hunted,6,se
2003,hunted,9,se
2003,hunted,1,se
2003,hunted,11,se
2003,hunted,5,se
2003,hunted,2,se
2003,hunted,4,se
2004,bycaught,0,se
2004,bycaught,0,se
2004,hunted,23,se
2004,bycaught,0,se
2004,bycaught,0,se
2004,bycaught,0,se
2004,bycaught,0,se
2004,bycaught,0,se
2004,bycaught,0,se
2004,bycaught,0,se
2004,bycaught,0,se
2004,hunted,0,se
2004,bycaught,0,se
2004,hunted,0,se
2004,hunted,4,se
2004,hunted,0,se
2004,bycaught,0,se
2004,hunted,0,se
2004,bycaught,0,se
2004,bycaught,0,se
2004,hunted,0,se
2004,hunted,0,se
2004,hunted,4,se
2004,hunted,11,se
2004,hunted,7,se
2004,hunted,4,se
2004,hunted,11,se
2004,hunted,1,se
2004,hunted,4,se
2004,hunted,12,se
2004,hunted,6,se
2004,hunted,9,se
2004,hunted,4,se
2004,hunted,9,se
2004,hunted,10,se
2004,hunted,4,se
2004,hunted,6,se
2004,hunted,1,se
2004,hunted,8,se
2004,hunted,9,se
2004,hunted,4,se
2004,hunted,7,se
2004,hunted,7,se
2004,hunted,2,se
2004,hunted,3,se
2004,hunted,15,se
2004,hunted,9,se
2004,hunted,3,se
2004,hunted,4,se
2004,hunted,5,se
2004,hunted,6,se
2004,hunted,10,se
2004,bycaught,2,se
2004,hunted,0,se
2004,bycaught,0,se
2004,bycaught,3,se
2004,bycaught,0,se
2005,bycaught,0,se
2005,hunted,0,se
2005,bycaught,0,se
2005,bycaught,0,se
2005,bycaught,0,se
2005,bycaught,0,se
2005,bycaught,0,se
2005,bycaught,0,se
2005,bycaught,0,se
2005,bycaught,0,se
2005,bycaught,0,se
2005,bycaught,0,se
2005,bycaught,0,se
2005,bycaught,0,se
2005,bycaught,0,se
2005,hunted,17,se
2005,hunted,0,se
2005,hunted,2,se
2005,hunted,20,se
2005,hunted,2,se
2005,hunted,0,se
2005,hunted,0,se
2005,hunted,2,se
2005,hunted,7,se
2005,hunted,0,se
2005,hunted,2,se
2005,hunted,3,se
2005,hunted,9,se
2005,hunted,12,se
2005,hunted,17,se
2005,hunted,10,se
2005,hunted,4,se
2005,hunted,13,se
2005,hunted,15,se
2005,hunted,11,se
2005,hunted,9,se
2005,hunted,10,se
2005,hunted,3,se
2005,hunted,6,se
2005,hunted,19,se
2005,hunted,7,se
2005,hunted,6,se
2005,hunted,5,se
2005,hunted,12,se
2005,hunted,6,se
2005,hunted,8,se
2005,hunted,7,se
2005,hunted,11,se
2005,hunted,6,se
2005,hunted,4,se
2005,hunted,13,se
2005,hunted,16,se
2005,hunted,12,se
2005,hunted,6,se
2005,hunted,9,se
2005,hunted,11,se
2005,hunted,17,se
2005,hunted,16,se
2005,hunted,15,se
2005,hunted,9,se
2005,hunted,1,se
2005,hunted,0,se
2005,bycaught,2,se
2005,bycaught,18,se
2006,bycaught,0,se
2006,bycaught,0,se
2006,hunted,0,se
2006,bycaught,0,se
2006,bycaught,0,se
2006,bycaught,0,se
2006,bycaught,0,se
2006,bycaught,0,se
2006,bycaught,0,se
2006,bycaught,0,se
2005,bycaught,0,se
2006,hunted,2,se
2006,hunted,0,se
2006,hunted,0,se
2006,hunted,5,se
2006,hunted,10,se
2006,hunted,3,se
2006,hunted,20,se
2006,hunted,2,se
2006,hunted,2,se
2006,hunted,10,se
2006,bycaught,0,se
2006,hunted,15,se
2006,hunted,12,se
2006,hunted,1,se
2006,hunted,1,se
2006,hunted,8,se
2006,bycaught,0,se
2006,hunted,6,se
2006,hunted,25,se
2006,bycaught,0,se
2006,bycaught,0,se
2006,hunted,5,se
2006,hunted,4,se
2006,hunted,15,se
2006,bycaught,4,se
2006,hunted,1,se
2006,hunted,3,se
2006,hunted,3,se
2006,hunted,0,se
2006,hunted,0,se
2006,hunted,0,se
2006,hunted,4,se
2006,hunted,2,se
2006,hunted,1,se
2006,hunted,2,se
2006,hunted,6,se
2006,hunted,7,se
2006,hunted,4,se
2006,hunted,1,se
2006,hunted,2,se
2006,hunted,10,se
2006,hunted,5,se
2006,bycaught,0,se
2006,hunted,9,se
2006,hunted,2,se
2006,hunted,0,se
2006,hunted,1,se
2006,hunted,16,se
2006,bycaught,2,se
2006,hunted,2,se
2007,hunted,6,se
2007,bycaught,0,se
2007,bycaught,0,se
2007,bycaught,0,se
2007,bycaught,17,se
2007,bycaught,0,se
2007,hunted,3,se
2007,hunted,1,se
2007,hunted,0,se
2007,hunted,9,se
2007,hunted,2,se
2007,hunted,21,se
2007,hunted,0,se
2007,hunted,8,se
2007,hunted,2,se
2007,hunted,11,se
2007,hunted,2,se
2007,hunted,3,se
2007,hunted,0,se
2007,hunted,9,se
2007,hunted,10,se
2007,hunted,0,se
2007,hunted,0,se
2007,hunted,0,se
2007,bycaught,0,se
2007,hunted,1,se
2007,hunted,2,se
2007,hunted,5,se
2007,hunted,7,se
2007,bycaught,0,se
2007,bycaught,0,se
2007,hunted,9,se
2007,hunted,8,se
2007,hunted,13,se
2008,hunted,6,se
2008,hunted,2,se
2008,hunted,14,se
2008,hunted,9,se
2008,bycaught,0,se
2008,hunted,13,se
2008,hunted,1,se
2008,hunted,0,se
2008,hunted,1,se
2008,hunted,21,se
2008,hunted,3,se
2008,hunted,1,se
2008,hunted,1,se
2008,hunted,3,se
2008,hunted,1,se
2008,hunted,12,se
2008,hunted,21,se
2008,hunted,1,se
2008,hunted,1,se
2008,hunted,4,se
2008,hunted,5,se
2008,hunted,5,se
2008,hunted,9,se
2008,hunted,4,se
2008,hunted,27,se
2008,hunted,4,se
2008,hunted,4,se
2008,hunted,6,se
2008,hunted,3,se
2008,hunted,10,se
2008,hunted,12,se
2008,hunted,4,se
2008,hunted,18,se
2008,hunted,13,se
2008,hunted,15,se
2008,hunted,9,se
2008,hunted,8,se
2008,hunted,22,se
2008,hunted,2,se
2008,hunted,5,se
2008,hunted,10,se
2009,hunted,1,se
2009,hunted,2,se
2009,hunted,24,se
2009,hunted,9,se
2009,hunted,13,se
2009,hunted,9,se
2009,hunted,4,se
2009,hunted,4,se
2009,hunted,1,se
2009,bycaught,0,se
2009,bycaught,0,se
2009,bycaught,0,se
2009,hunted,6,se
2009,hunted,3,se
2009,hunted,14,se
2009,hunted,17,se
2009,hunted,5,se
2009,hunted,5,se
2009,hunted,14,se
2009,bycaught,0,se
2009,hunted,10,se
2009,hunted,1,se
2009,bycaught,1,se
2009,hunted,12,se
2009,hunted,5,se
2009,hunted,24,se
2009,hunted,7,se
2009,hunted,12,se
2009,hunted,6,se
2009,hunted,7,se
2009,bycaught,0,se
2019,hunted,12,se
2019,hunted,8,se
2019,hunted,6,se
2019,hunted,4,se
2019,hunted,5,se
